scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene18,L7__s20260821__0007.png::boost_e2,E,True,,10,0.709692,0.580577,0.12911499999999998,0.709692,0.580577,0.12911499999999998,nan,nan,nan,nan,nan,nan,0.367938,0.080559,0.287379,0.709692,0.580577,0.12911499999999998
sceneC2,L2__s20260819__0000.png,V,True,,12,0.419774,0.009308,0.410466,0.419774,0.016973,0.40280099999999996,nan,nan,nan,0.001568,0.004235,-0.002667,0.032895,0.001931,0.030964000000000002,0.419774,0.009308,0.410466
sceneC2,L2__s20260819__0001.png,V,True,,6,0.510699,0.08232,0.428379,0.510699,0.08232,0.428379,nan,nan,nan,nan,nan,nan,0.510699,0.08232,0.428379,0.510699,0.000793,0.509906
sceneC2,L2__s20260819__0002.png,V,True,,2,0.139098,0.001777,0.137321,0.708076,0.472615,0.23546100000000003,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.139098,0.001777,0.137321
sceneC2,L2__s20260819__0003.png,V,True,,15,0.667646,0.079687,0.587959,0.667646,0.079687,0.587959,nan,nan,nan,0.605413,0.002075,0.6033379999999999,0.173744,0.000681,0.17306300000000002,0.667646,0.079687,0.587959
sceneC2,L2__s20260819__0004.png,V,True,,13,0.970892,0.695114,0.27577799999999997,0.970892,0.695114,0.27577799999999997,nan,nan,nan,0.115552,0.25801,-0.14245800000000003,0.928168,0.695114,0.23305399999999998,0.970892,0.091325,0.879567
sceneC2,L2__s20260819__0005.png,V,True,,8,0.946688,0.265167,0.681521,0.946688,0.265167,0.681521,nan,nan,nan,nan,nan,nan,0.946688,0.265167,0.681521,0.290628,0.169353,0.121275
sceneC2,L2__s20260819__0006.png,V,True,,8,0.734324,0.00134,0.732984,0.734324,0.00134,0.732984,nan,nan,nan,nan,nan,nan,0.734324,0.00134,0.732984,0.670146,0.000295,0.669851
sceneC2,L2__s20260819__0007.png,V,True,,15,0.975667,0.002179,0.9734879999999999,0.975667,0.002586,0.973081,nan,nan,nan,0.09026,0.001728,0.08853200000000001,0.912445,0.002179,0.9102659999999999,0.975667,0.000414,0.9752529999999999
sceneC2,L3__s20260819__0000.png,V,True,,12,0.474793,0.00864,0.46615300000000004,0.474793,0.016698,0.45809500000000003,nan,nan,nan,0.001409,0.003567,-0.0021579999999999998,0.023932,0.001833,0.022098999999999997,0.474793,0.00864,0.46615300000000004
sceneC2,L3__s20260819__0001.png,V,True,,6,0.503401,0.149115,0.354286,0.503401,0.149115,0.354286,nan,nan,nan,nan,nan,nan,0.503401,0.149115,0.354286,0.503401,0.001036,0.502365
sceneC2,L3__s20260819__0002.png,V,True,,2,0.143434,0.002331,0.141103,0.724563,0.654173,0.07038999999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.143434,0.002331,0.141103
sceneC2,L3__s20260819__0003.png,V,True,,15,0.741815,0.074024,0.667791,0.741815,0.074024,0.667791,nan,nan,nan,0.741815,0.001254,0.740561,0.158939,0.00048,0.158459,0.645791,0.074024,0.571767
sceneC2,L3__s20260819__0004.png,V,True,,13,0.969447,0.686258,0.2831889999999999,0.969447,0.686258,0.2831889999999999,nan,nan,nan,0.136127,0.236718,-0.10059100000000001,0.922702,0.686258,0.236444,0.969447,0.097038,0.872409
sceneC2,L3__s20260819__0005.png,V,True,,8,0.952003,0.267563,0.68444,0.952003,0.267563,0.68444,nan,nan,nan,nan,nan,nan,0.952003,0.267563,0.68444,0.310592,0.18909,0.12150199999999997
sceneC2,L3__s20260819__0006.png,V,True,,8,0.716106,0.002311,0.7137950000000001,0.716106,0.002311,0.7137950000000001,nan,nan,nan,nan,nan,nan,0.716106,0.002311,0.7137950000000001,0.552048,0.000489,0.551559
sceneC2,L3__s20260819__0007.png,V,True,,15,0.965797,0.002438,0.963359,0.965797,0.00277,0.963027,nan,nan,nan,0.088085,0.001756,0.086329,0.898415,0.002438,0.8959769999999999,0.965797,0.000535,0.9652620000000001
sceneC2,L7__s20260819__0000.png,V,True,,12,0.475954,0.012228,0.46372599999999997,0.475954,0.0342,0.441754,nan,nan,nan,0.191904,0.011352,0.180552,0.03667,0.004806,0.031864,0.475954,0.012228,0.46372599999999997
sceneC2,L7__s20260819__0001.png,V,True,,6,0.440396,0.195461,0.244935,0.440396,0.195461,0.244935,nan,nan,nan,nan,nan,nan,0.440396,0.195461,0.244935,0.440396,0.001389,0.43900700000000004
sceneC2,L7__s20260819__0002.png,V,True,,2,0.126218,0.003052,0.123166,0.724108,0.694073,0.030034999999999923,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.126218,0.003052,0.123166
sceneC2,L7__s20260819__0003.png,V,True,,15,0.58587,0.062661,0.523209,0.58587,0.062661,0.523209,nan,nan,nan,0.58587,0.002032,0.583838,0.161291,0.000736,0.160555,0.514156,0.062661,0.451495
sceneC2,L7__s20260819__0004.png,V,True,,13,0.984195,0.646755,0.3374400000000001,0.984195,0.646755,0.3374400000000001,nan,nan,nan,0.262596,0.227599,0.034997,0.959157,0.646755,0.31240200000000007,0.984195,0.08857,0.895625
sceneC2,L7__s20260819__0005.png,V,True,,8,0.968742,0.358297,0.610445,0.968742,0.358297,0.610445,nan,nan,nan,nan,nan,nan,0.968742,0.358297,0.610445,0.344992,0.22867,0.11632200000000001
sceneC2,L7__s20260819__0006.png,V,True,,8,0.699684,0.01053,0.6891539999999999,0.699684,0.01053,0.6891539999999999,nan,nan,nan,nan,nan,nan,0.699684,0.01053,0.6891539999999999,0.536265,0.000691,0.535574
sceneC2,L7__s20260819__0007.png,V,True,,15,0.957643,0.006789,0.950854,0.957643,0.006789,0.950854,nan,nan,nan,0.105513,0.002869,0.102644,0.912327,0.006789,0.905538,0.957643,0.000852,0.9567910000000001
sceneN3,L0__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.894162,0.886002,0.008160000000000056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,0.978113,0.943116,0.034997000000000056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.948483,0.89974,0.04874299999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.95921,0.941126,0.01808399999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.972973,0.972244,0.0007289999999999797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.991378,0.957395,0.033982999999999985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,0.934576,0.915362,0.019213999999999953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.965456,0.928723,0.036733000000000016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.833183,0.824351,0.008832000000000062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,0.99639,0.987679,0.008711000000000024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.973057,0.964256,0.008800999999999948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.974696,0.963962,0.010734000000000021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.963009,0.956957,0.006052000000000057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.976189,0.897466,0.07872299999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,0.992379,0.96645,0.02592899999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.916593,0.906688,0.009904999999999942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.746473,0.685675,0.06079800000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,0.986876,0.956275,0.03060099999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.941838,0.900668,0.04116999999999993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.921741,0.87028,0.05146099999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.959533,0.955112,0.004421000000000008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.978152,0.881166,0.09698600000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,0.980218,0.918314,0.06190400000000007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.914975,0.874915,0.040059999999999985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
